model_name,fold,train_seasons,test_season,n_train,n_test,accuracy,brier_score,log_loss,roc_auc,beat_naive_rate,naive_brier
stacking_meta,1,2021-2022,2022-2023,1400,1400,0.5971428571428572,0.2402031208027476,0.6735625418691362,0.6224693959216339,0.5978571428571429,0.250104081632653
stacking_meta,2,"2021-2022, 2022-2023",2023-2024,2800,1400,0.5785714285714286,0.23964966015955713,0.672024819157258,0.616023396109356,0.5764285714285714,0.25001632653061223
stacking_meta,3,"2021-2022, 2022-2023, 2023-2024",2024-2025,4200,1398,0.5708154506437768,0.24302142009310362,0.679062167435229,0.5979000487356492,0.5708154506437768,0.2501001401418937
stacking_meta,4,"2021-2022, 2022-2023, 2023-2024, 2024-2025",2025-2026,5598,1009,0.5401387512388504,0.2457921083960241,0.6846991229042675,0.5779664486062238,0.5470763131813677,0.2503760277815939
